filepath,masks,objects
batch_01_vt/0002.jpg,batch_01_vt_masks/0002.png,"[0, 6, 7, 9]"
batch_01_vt/0003.jpg,batch_01_vt_masks/0003.png,"[0, 2, 9]"
batch_01_vt/0005.jpg,batch_01_vt_masks/0005.png,"[0, 7]"
batch_01_vt/0006.jpg,batch_01_vt_masks/0006.png,"[0, 5, 7]"
batch_01_vt/0007.jpg,batch_01_vt_masks/0007.png,"[0, 7]"
batch_01_vt/0009.jpg,batch_01_vt_masks/0009.png,"[0, 3, 7]"
batch_01_vt/0010.jpg,batch_01_vt_masks/0010.png,"[0, 2]"
batch_01_vt/0011.jpg,batch_01_vt_masks/0011.png,"[0, 2]"
batch_01_vt/0012.jpg,batch_01_vt_masks/0012.png,"[0, 2]"
batch_01_vt/0013.jpg,batch_01_vt_masks/0013.png,"[0, 4]"
batch_01_vt/0014.jpg,batch_01_vt_masks/0014.png,"[0, 4]"
batch_01_vt/0015.jpg,batch_01_vt_masks/0015.png,"[0, 2, 3, 4, 5, 7, 9]"
batch_01_vt/0016.jpg,batch_01_vt_masks/0016.png,"[0, 9]"
batch_01_vt/0017.jpg,batch_01_vt_masks/0017.png,"[0, 2, 3, 7, 8, 9]"
batch_01_vt/0018.jpg,batch_01_vt_masks/0018.png,"[0, 1, 2, 9]"
batch_01_vt/0019.jpg,batch_01_vt_masks/0019.png,"[0, 3, 9]"
batch_01_vt/0022.jpg,batch_01_vt_masks/0022.png,"[0, 2]"
batch_01_vt/0023.jpg,batch_01_vt_masks/0023.png,"[0, 2, 8, 9]"
batch_01_vt/0024.jpg,batch_01_vt_masks/0024.png,"[0, 1, 2, 3, 7, 9]"
batch_01_vt/0025.jpg,batch_01_vt_masks/0025.png,"[0, 2, 3, 7]"
batch_01_vt/0026.jpg,batch_01_vt_masks/0026.png,"[0, 2]"
batch_01_vt/0027.jpg,batch_01_vt_masks/0027.png,"[0, 2, 9]"
batch_01_vt/0029.jpg,batch_01_vt_masks/0029.png,"[0, 3, 9]"
batch_01_vt/0030.jpg,batch_01_vt_masks/0030.png,"[0, 4, 9]"
batch_01_vt/0034.jpg,batch_01_vt_masks/0034.png,"[0, 7]"
batch_01_vt/0035.jpg,batch_01_vt_masks/0035.png,"[0, 2, 3, 7, 9]"
batch_01_vt/0036.jpg,batch_01_vt_masks/0036.png,"[0, 1, 2, 3, 4, 7, 8, 9]"
batch_01_vt/0037.jpg,batch_01_vt_masks/0037.png,"[0, 2, 3, 9]"
batch_01_vt/0038.jpg,batch_01_vt_masks/0038.png,"[0, 7, 9, 11]"
batch_01_vt/0039.jpg,batch_01_vt_masks/0039.png,"[0, 3, 4, 5, 7, 9]"
batch_01_vt/0040.jpg,batch_01_vt_masks/0040.png,"[0, 3]"
batch_01_vt/0041.jpg,batch_01_vt_masks/0041.png,"[0, 2, 3, 7]"
batch_01_vt/0042.jpg,batch_01_vt_masks/0042.png,"[0, 2, 9]"
batch_01_vt/0043.jpg,batch_01_vt_masks/0043.png,"[0, 2]"
